restaurant_id,title,city_clean,lat,lng,rating_final,has_rating,reviewsCount,n_reviews_with_text,has_text,reviews_text_combined
FRESH FOOD_18.1294_-15.94877,FRESH FOOD,Nouakchott,18.1294033,-15.9487717,5.0,True,1,0,False,
دار أهل المجتبى_18.13192_-15.9524,دار أهل المجتبى,Nouakchott,18.131921,-15.9523969,,False,0,0,False,
مطعم الأصدقاء - Restaurant los amigos_18.14354_-15.94419,مطعم الأصدقاء - Restaurant los amigos,Beila,18.1435384,-15.944189,4.3,True,7,3,True,"very good . Excellent food and well cooked . Peace be upon you and God's mercy Guys, this Friends Restaurant I recommended to you has real food that's better than pizza , real tacos and hamburgers, and natural juice. They only have 500 old ones, and all their meals are good, thank God May God protect them"
توب هاوس_18.13139_-15.98001,توب هاوس,Nouakchott,18.1313905,-15.9800095,5.0,True,2,0,False,
مطعم سيسي_18.13557_-15.9638,مطعم سيسي,Nouakchott,18.135568,-15.9637963,4.5,True,4,2,True,Beautiful . Sisi Restaurant
مطعم العملاق مقهي ومطعم_18.11689_-15.97507,مطعم العملاق مقهي ومطعم,Nouakchott,18.1168886,-15.9750671,4.3,True,28,7,True,Good The Palestinian Chef Ahmad . very good . The best piece you can get in the capital . Alright . Maditamba . Good option in Nuakchot. Tacos with legumes . Food is acceptable the amosphere is not that bad not very crowded
مشروع البوادي_18.14992_-15.96012,مشروع البوادي,Jreida,18.1499152,-15.9601163,3.3,True,6,2,True,bad . Beautiful
مشروع محمد الأمين للمشوي_18.15052_-15.95995,مشروع محمد الأمين للمشوي,Jreida,18.1505197,-15.9599537,4.2,True,26,3,True,"A respectable Mauritanian barbecue project A good place to experience simple, uncomplicated traditional Mauritanian hospitality. . Very excellent and fast to deal with . Great delivery and service"
restaurant Rozana_18.13189_-15.94405,restaurant Rozana,Nouakchott,18.1318936,-15.9440519,4.1,True,11,3,True,"I don't recommend it! Especially the tacos. Full of oil and undercooked fries. Poor value for money! . Very bad, I do not recommend trying it . A delicious food restaurant, and if you want to let you down, delicious tacos"
منتجع الصباح_18.12995_-15.93768,منتجع الصباح,Nouakchott,18.1299535,-15.9376756,4.8,True,8,1,True,Tahmad
CAFÉ LUNE_18.10485_-15.99247,CAFÉ LUNE,Nouakchott,18.1048489,-15.9924703,,False,0,0,False,
مطعم الضيافة_18.14992_-15.9625,مطعم الضيافة,Jreida,18.1499209,-15.9624957,5.0,True,2,2,True,God bless . Masha Allah Tabarak Allah
مطاعم الاشرفية_18.13969_-15.93907,مطاعم الاشرفية,Nouakchott,18.1396912,-15.9390706,4.2,True,27,5,True,"This restaurant is located in Ain Talh, North Nouakchott, near the Timbedra complex, and serves excellent meals. . Beautiful . Very beautiful . I am King Ardo He A very nice restaurant! . A restaurant that offers very less than other restaurants and it is substandard. Even the cup of milkshake is very small compared to other restaurants, and the chicken box has only three dishes, unlike other restaurants, and those three contain what would not feed a small child. I was really shocked. It was a very bad experience."
Alchimist Hookah Lounge_18.11458_-16.00002,Alchimist Hookah Lounge,Nouakchott,18.1145807,-16.0000235,4.3,True,27,2,True,A shisha session . I am a foreigner here in Mauritania but I found class at alchimist louange
Baristas café_18.11167_-15.96192,Baristas café,Nouakchott,18.1116663,-15.9619222,5.0,True,2,0,False,
CAFÉ NOVA_18.12819_-15.99626,CAFÉ NOVA,Nouakchott,18.1281869,-15.9962551,4.7,True,20,5,True,Best coffee . A very good experience . Clean and calm ️ . Beautiful and delicious . The best
مطعم منصف_18.13192_-15.94404,مطعم منصف,Nouakchott,18.131921,-15.9440351,4.8,True,4,2,True,Same as my husband 63am zyen . The best restaurant in Nouakchott
Restaurant petit café_18.13904_-15.93817,Restaurant petit café,Nouakchott,18.1390413,-15.9381715,2.2,True,5,4,True,"Very classic . A wonderful and delicious restaurant, the service in the drinks section is respectful, and their tacos are good. I changed it because there is no longer a person working on the juice, and your juice is bad and light and has no taste. The rating has been changed, but the tacos are still good. . Their food, except the food of the sick, is thrown away by food that is harmful and harmful They are always late Except for the fact that your food is raw and food makes your mouth cry . It concerns cleanliness"
Live Love Laugh Cafe_18.11032_-15.98053,Live Love Laugh Cafe,Nouakchott,18.1103153,-15.9805297,4.2,True,15,5,True,"It’s a nice different coffee shop than what we have in Nouakchott, it’s unique. It just needs a good AC . This is a lovely, cute coffee shop. It’s ideal for women to come and have a chat with friends. The cafe is small, but tastefully decorated and cozy. The service is excellent. The are different options than at the other coffee shops in town. The quality of the food, service, and cleanliness is high quality. I look forward to my next visit. . The best cafe for sure . excellent . Good"
Sinaya_18.13696_-15.9234,Sinaya,Nouakchott,18.1369632,-15.9233966,,False,0,0,False,
Cafeteriat Toure_18.12689_-15.93533,Cafeteriat Toure,Nouakchott,18.1268853,-15.9353283,4.0,True,8,3,True,Your satisfaction is our goal . What is the name of this page? . Very good coffee omolettes
Resto Café TALES_18.12681_-15.96359,Resto Café TALES,Nouakchott,18.1268136,-15.9635861,5.0,True,1,0,False,
مطعم كينتاكي_18.03502_-15.95146,مطعم كينتاكي,Nouakchott,18.0350226,-15.9514638,4.7,True,3,1,True,We ask God to grant you success
Maison jali_18.03868_-15.96754,Maison jali,Nouakchott,18.0386783,-15.9675383,,False,0,0,False,
مطعم ريكو_18.05822_-15.96853,مطعم ريكو,Nouakchott,18.0582237,-15.9685254,4.3,True,4,1,True,Average restaurant
KAYN | كيان_18.05787_-15.94552,KAYN | كيان,Nouakchott,18.0578749,-15.9455243,5.0,True,1,0,False,
مطعم مشوي_18.04941_-15.954,مطعم مشوي,Nouakchott,18.0494093,-15.9540042,,False,0,0,False,
دريم كافي_18.05052_-15.95821,دريم كافي,Nouakchott,18.0505226,-15.958209,3.1,True,14,3,True,An amazing and wonderful restaurant that I recommend to everyone . One of the best restaurants in its area near the Al Nour Mosque meeting place . Cool
المطعم البدر_18.04278_-15.9729,المطعم البدر,Nouakchott,18.0427827,-15.9729025,2.3,True,3,0,False,
مطعم بنغلاديش_18.05538_-15.96167,مطعم بنغلاديش,Nouakchott,18.0553839,-15.9616677,,False,0,0,False,
TEA TIME RESTAURANT_18.04869_-15.95385,TEA TIME RESTAURANT,Nouakchott,18.0486911,-15.9538547,4.2,True,5,3,True,"very good restaurant . A more than wonderful experience . No menu, toilets without lights and rooms... bad service"
High mood_18.14542_-15.94622,High mood,Jreida,18.1454177,-15.9462161,2.5,True,2,1,True,A very beautiful place with all the excellent features
Tata joyce_18.02729_-15.98164,Tata joyce,Nouakchott,18.0272915,-15.9816363,4.7,True,3,2,True,"Tata Joyce Restaurant, specializing in Nigerian and Ghanaian cuisine, offers an authentic and flavorful dining experience. The dishes are prepared with fresh ingredients and traditional spices, offering an explosion of flavors in the mouth. The atmosphere is warm and friendly, ideal for discovering the specialties of these two countries. Service is generally fast and attentive, making the experience enjoyable. The portions are generous, and the prices reasonable, making it excellent value for money. . Very good"
Restaurant Ali Baba_18.05133_-15.96629,Restaurant Ali Baba,Nouakchott,18.0513279,-15.9662896,3.6,True,7,6,True,"It's okay, although he currently sells nothing but sandwiches and only roosters. He also has kebab. . Kebab after garnish . good restaurant . Absolutely excellent . Good services with good qualities . amazing"
مطعم الخال_18.12923_-15.95982,مطعم الخال,Jreida,18.1292289,-15.9598175,3.9,True,46,4,True,"Nice restaurant offering several Mauritanian dishes. . Nice restaurant and serves delicious and wonderful meals . Prices are very expensive . The place is beautiful but I don't recommend the food, the waiters are clearly not cut out for this job. This is my first and last time in this restaurant."
مطعم الرضى Restaurant Erida_18.00957_-15.9773,مطعم الرضى Restaurant Erida,Nouakchott,18.0095736,-15.9773032,2.0,True,1,1,True,"Al Reda Restaurant sells fast food. Its meals are simple, cheap, and suit the condition of the residents there."
مقهى و مطعم الأمتياز_18.05914_-15.96517,مقهى و مطعم الأمتياز,Nouakchott,18.0591399,-15.9651654,3.0,True,1,0,False,
Chez Gadio_18.04001_-15.96571,Chez Gadio,Nouakchott,18.0400055,-15.9657063,,False,0,0,False,
Restaurant la haute volta_17.99886_-15.9746,Restaurant la haute volta,Nouakchott,17.9988615,-15.9746028,,False,0,0,False,
La cuillere magique_18.01301_-15.99349,La cuillere magique,Nouakchott,18.0130087,-15.993491,,False,0,0,False,
مشوي جاك الخير_18.05776_-15.95912,مشوي جاك الخير,Nouakchott,18.0577647,-15.9591202,4.0,True,9,4,True,good . It is a more than wonderful place and what distinguishes it most is the humility of the manager and the workers in charge of it. It is also distinguished by its cleanliness and the deliciousness of the grilled meat that is served. All thanks to them . Hhh 4ak yabs . Grilled the largest tower in the world haha
بيك بوي big boy_18.03515_-15.96256,بيك بوي big boy,Nouakchott,18.0351464,-15.9625605,,False,0,0,False,
مطعم الرئيس_18.05666_-15.96034,مطعم الرئيس,Nouakchott,18.0566591,-15.9603399,3.1,True,22,6,True,Good . respectable place . President Restaurant near Day 11 . Good pizza But slow service . good restaurant . Pretty good
المجلس العربي_18.04277_-15.95411,المجلس العربي,Nouakchott,18.0427666,-15.9541142,5.0,True,2,0,False,
Qadisiyah Restaurant_18.05903_-15.97356,Qadisiyah Restaurant,Nouakchott,18.0590348,-15.9735598,3.6,True,20,6,True,respectable place . its great . Raa . Great and beautiful restaurant . Distinctive and wonderful Al-Qadisiyah restaurant . Your satisfaction is our goal
PASGO (Palais des Saveurs)_18.05202_-15.99506,PASGO (Palais des Saveurs),Nouakchott,18.0520245,-15.9950638,4.2,True,5,2,True,Very good . Healthy food Diverse dishes Professionals in the field
Tangan_18.01147_-15.97568,Tangan,Nouakchott,18.0114674,-15.9756754,4.0,True,1,1,True,Good
مطعم البلياردو_18.05541_-15.96174,مطعم البلياردو,Nouakchott,18.0554054,-15.9617441,4.7,True,3,1,True,The name has been changed to Bangladesh Restaurant
Restaurant Coumba Sarr Mbodj_18.01393_-15.97126,Restaurant Coumba Sarr Mbodj,Nouakchott,18.0139292,-15.9712639,5.0,True,2,0,False,
الدار عرفات_18.04262_-15.95738,الدار عرفات,Nouakchott,18.0426188,-15.9573794,4.8,True,5,1,True,Cradle of childhood
مطعم Galaxy_18.05611_-15.97484,مطعم Galaxy,Nouakchott,18.0561139,-15.9748406,5.0,True,1,0,False,
مشوي محمد الامين_18.05052_-15.95824,مشوي محمد الامين,Nouakchott,18.0505176,-15.9582393,5.0,True,1,1,True,Excellent
THE BAKERY_18.11394_-15.98383,THE BAKERY,Nouakchott,18.1139398,-15.9838342,3.6,True,48,4,True,"You used to be great, but lately you're starting to let go in the wrong way. . I ordered the kids menu for the children and I sincerely recommend it. Composed of a mini burger, nuggets, fries, caprisun, yogurt drink, chocolate and toy, the children were delighted! I also ordered an egg burger menu which was delicious, especially the sauce, lots of fries. Be careful, however, with the cooking of the steak which was a little black. For dessert, the Dubai crepe was disappointing. Very large crepe for 2 or even 3 people but very thick resulting in a lack of filling for my taste. The Lotus dessert is not extraordinary, a lot of white ganache with no particular taste. We took takeaway. When children are happy, adults are less critical I recommend for children's menus and burgers. Ps: I struggled to find the menu in advance, especially for a large order or when you want delivery, so I'm sharing it with you here. Enjoy your meal . Very slow service . Very poor welcome, non-competent staff and total lack of respect for customers."
Fastfoods Chez Coumba_18.02351_-15.97192,Fastfoods Chez Coumba,Nouakchott,18.0235129,-15.9719236,5.0,True,2,0,False,
Cafeteria Le Café_18.07182_-15.97234,Cafeteria Le Café,Nouakchott,18.0718202,-15.9723428,3.0,True,2,0,False,
City Café_18.07308_-15.96334,City Café,Nouakchott,18.0730784,-15.9633367,3.4,True,12,4,True,Wasn't good . It works a lot . excellent . Amazing place
مطعم الفرح_18.06235_-15.95432,مطعم الفرح,Nouakchott,18.0623518,-15.9543183,5.0,True,1,0,False,
cyber General Lam_18.05838_-15.95838,cyber General Lam,Nouakchott,18.0583791,-15.9583842,5.0,True,2,0,False,
CYBER ABDELHAYE_18.0641_-15.95243,CYBER ABDELHAYE,Nouakchott,18.0641042,-15.9524276,3.3,True,4,1,True,Relatively slow internet
Classico_18.06935_-15.95804,Classico,Nouakchott,18.0693496,-15.9580417,4.3,True,3,0,False,
RIMWEB - JAHE-ELMINA_18.03158_-15.97818,RIMWEB - JAHE-ELMINA,Nouakchott,18.0315794,-15.9781792,,False,0,0,False,
Épicerie karam_18.03813_-15.96763,Épicerie karam,Nouakchott,18.0381255,-15.9676348,3.0,True,2,0,False,
دار أهل يوسف_18.04213_-15.9726,دار أهل يوسف,Nouakchott,18.0421291,-15.9725955,5.0,True,2,0,False,
Café Tunisie_18.09224_-15.97932,Café Tunisie,Nouakchott,18.0922398,-15.9793202,3.7,True,163,5,True,"The place is quiet and good, away from the hustle and bustle of the market, but they need to add other types of coffee, such as macchiato, cortado, etc. Overall, it's comfortable :) . Best cafes in Nouakchott (special mention for Nous-nous) . The restaurant is classic in terms of design and is suitable for small get-togethers and gatherings in general, and many young people use it as a suitable place to watch football matches, but their food is normal from my point of view. I tried the tea, and it came cold, in addition to the lack of sugar. They served us fried chicken, but I prefer it grilled. However, it is rumored that a group of secularists and atheists often gather in it, and you can sometimes find well-dressed women and card players... But in general, it is considered ideal for drinking tea and coffee, which is why it is called café Tunisie. It is worth noting that it contains a prayer hall for those who want to pray, and this is a good step. . Café Tunisie is the perfect place to enjoy a coffee and discuss ideas. Its convenient location and terrace make it a welcoming spot. . The invitation place is very beautiful"
مطعم الأبرار_18.06917_-15.94798,مطعم الأبرار,Nouakchott,18.0691719,-15.9479785,5.0,True,1,0,False,
مطعم السعادة_18.0558_-15.93891,مطعم السعادة,Nouakchott,18.0558041,-15.938914,5.0,True,1,0,False,
مطعم_18.07508_-15.96012,مطعم,Nouakchott,18.0750798,-15.960118,5.0,True,1,0,False,
Yum Yum Restaurant_18.10203_-15.98897,Yum Yum Restaurant,Nouakchott,18.1020263,-15.9889663,4.5,True,12,3,True,"Hello good evening everyone box Available 1 p.m. until 1 a.m. contact you this number 42 41 72 72 . An excellent restaurant, their meals are delicious and their delivery service is fast . Pole, my friend, you are a mouthful"
Restaurant Cisse - مطعم سيسه_18.07707_-15.95873,Restaurant Cisse - مطعم سيسه,Nouakchott,18.0770748,-15.9587333,4.2,True,29,2,True,"Sisi Restaurant Chain is one of the best kebab restaurants in the capital, Nouakchott. Its prices are reasonable and their service is good. . good"
المطعم اليمني Yemeni Restaurant_18.10223_-15.99807,المطعم اليمني Yemeni Restaurant,Nouakchott,18.1022284,-15.9980745,4.2,True,21,6,True,"Good restaurant. However, the vibe was very bad . It was like a school yard. Too loud.... . A lovely traditional Yemeni restaurant. The staff are kind and welcoming too. Everyone, this is one of the best places in town. . We had a delicious and inexpensive meal - highly recommended. . Very delicious food, staff was nice! . Some of the best food I have ever had in my life. Really flavourful and fresh, and the staff were all so nice. 100% recommend . Delicious food...classy welcome... He lacks good manners training for Bedouin clients my regards"
The India Gate الطعام الهندي_18.10058_-15.99232,The India Gate الطعام الهندي,Nouakchott,18.1005832,-15.9923153,4.6,True,210,10,True,"Wonderful restaurant, we can access WiFi Good food . Thnx for helping paramveer . food recomended . An excellent Indian restaurant with fantastic vegan and vegetarian options! Dishes full of flavour, well-balanced spices and fresh ingredients. The staff are friendly and helpful, creating a welcoming atmosphere. Excellent value for money, absolutely recommended! . Very good hotel in the whole Mauritania country. Love from india . Indian food is available here Best Indian restaurant But price is high . Ashishbhai from our Gujarat state was awesome and very kind person.. Restaurant it self gives you at home feeling.. Just order any from menu and taste will be like it's live hot from India.. . Spoiled Indian is a good luxury and quiet place that offers you the best dishes . “I’m still dreaming about my meal at [The India gate restaurant]! Each bite was a delight, and the presentation just blew us away. Don’t miss out on trying their [butter chikan/biryani rice].” . Home away from home Masala cha is healing!"
مطعم العربيRestaurant El Arabi_18.07415_-15.94807,مطعم العربيRestaurant El Arabi,El Amel,18.0741466,-15.9480728,3.6,True,96,0,False,
PERLA RESTAURANT_18.09236_-15.98576,PERLA RESTAURANT,Nouakchott,18.0923623,-15.9857613,4.5,True,30,4,True,"it's crap extremely crap the food is crap . Very good . Lovely atmosphere, friendly terrace and dining room, however the service is slow. You have to go get the menu at the bar and wait forever. The cocktails are excellent and served quickly. Good luck . Nice restaurant and the atmosphere is very good"
BYBLOS RESTAURANT_18.10808_-15.98245,BYBLOS RESTAURANT,Nouakchott,18.1080791,-15.982451,4.5,True,23,6,True,"This is what happened!!! He is not like that . The food was amazing, and the restaurant had a welcoming vibe. . First night of dining at the Byblos, June 9, 2025: Very satisfied with the food. A warm welcome and excellent service. Very welcoming and friendly staff. I will return again, inshallah. Highly recommended restaurant. Thank you. . Magnificent . Alright . A very, very wonderful restaurant that I recommend to you without hesitation"
Restaurant Al mahata_18.07412_-15.94854,Restaurant Al mahata,Nouakchott,18.074118,-15.948538,4.5,True,18,5,True,Best restaurant ever . Ok thanks . excellent . Beautiful . A beautiful restaurant with a varied menu ️ But the only problem is the slow service
LASTRADA - Restaurant & Traiteur [ مطعم لاسترادا ]_18.11971_-16.00155,LASTRADA - Restaurant & Traiteur [ مطعم لاسترادا ],Nouakchott,18.1197095,-16.0015466,4.7,True,15,7,True,"The service was excellent, and the food was both fresh and flavorful. . Mashallah keep going . The best restaurant currently in Nouakchott Excellent services and kind staff . Delicious and varied food. reasonable prices Good service . An Experienced Team Fresh Quality Products Professional Hygiene . 6a3Mkoume top top top machlh . Very good it’s delicious"
مطعم المجلس انتاجاط_18.10984_-16.00584,مطعم المجلس انتاجاط,Nouakchott,18.1098418,-16.0058399,4.9,True,15,5,True,"A very nice discovery. . Good enough With respect to customers and good treatment . Good, Mashallah . amazing . Excellent restaurant! The service was perfect and the dish ordered was really delicious. I highly recommend"
Station Petrodis Carrefour BAMAKO_17.99291_-15.97475,Station Petrodis Carrefour BAMAKO,Nouakchott,17.9929121,-15.9747488,3.7,True,3,1,True,wow
مطعم كلوا واشربوا_17.99236_-15.97477,مطعم كلوا واشربوا,Nouakchott,17.9923635,-15.9747712,1.0,True,2,0,False,
RESTAURANT ER-RAHA_17.99353_-15.97504,RESTAURANT ER-RAHA,Nouakchott,17.9935262,-15.9750404,3.8,True,4,4,True,"Services and comfort . Finally, the one who hopes for the neighbors . Thanks for the services . Your comfort is our goal"
Brooklyn Burger_18.12251_-16.00044,Brooklyn Burger,Nouakchott,18.1225091,-16.0004383,4.7,True,14,5,True,"Top burger 7th msagle meshalh . The best place . Top quality, highly recommended! . The service is lousy, I was late for an hour and I couldn't get my order . Great experience at Brooklyn Burger! The setting is pleasant, the burgers are delicious and the prices really reasonable. The staff is welcoming and the service fast. I highly recommend, I will come back without hesitation!"
Restaurant guinéen léllouma_17.97611_-15.97103,Restaurant guinéen léllouma,Nouakchott,17.9761062,-15.9710291,5.0,True,1,0,False,
مطعم_17.97449_-15.9723,مطعم,Nouakchott,17.9744875,-15.9722969,5.0,True,1,0,False,
Le Siné saloum_17.97418_-15.96982,Le Siné saloum,Nouakchott,17.9741797,-15.9698195,4.0,True,1,1,True,"Here is a good Senegalese restaurant which offers a very good range of dishes, tieboudjen, yassa, soupou kadia, tiebouyapp and tiebouguinar, they also offer fataya stuffed with tuna or minced meat as well as pinton sandwiches, tuna sandwiches without forgetting refreshing drinks with bissap and ginger."
𝙇𝙖 𝙋𝙖𝙪𝙨𝙚 𝙍𝙚𝙨𝙩𝙖𝙪𝙧𝙖𝙣𝙩_18.09578_-15.95987,𝙇𝙖 𝙋𝙖𝙪𝙨𝙚 𝙍𝙚𝙨𝙩𝙖𝙪𝙧𝙖𝙣𝙩,Nouakchott,18.0957818,-15.9598683,4.0,True,1,0,False,
CHOCOLATBAR_18.10778_-15.9773,CHOCOLATBAR,Nouakchott,18.1077794,-15.9772995,4.6,True,8,5,True,Pretty . The chocolate bar is excellent . Excellent . A great restaurant . The chocolate is excellent
AMIGOSS_18.06692_-15.89505,AMIGOSS,Nouakchott,18.0669246,-15.8950459,5.0,True,3,0,False,
